geo_id,complaint_count
1400000US17031010100,0.0
1400000US17031010201,0.0
1400000US17031010202,1.0
1400000US17031010300,0.0
1400000US17031010400,0.0
1400000US17031010501,0.0
1400000US17031010502,0.0
1400000US17031010503,0.0
1400000US17031010600,4.0
1400000US17031010701,0.0
1400000US17031010702,0.0
1400000US17031020100,0.0
1400000US17031020200,0.0
1400000US17031020301,0.0
1400000US17031020302,1.0
1400000US17031020400,2.0
1400000US17031020500,0.0
1400000US17031020601,0.0
1400000US17031020602,0.0
1400000US17031020701,0.0
1400000US17031020702,0.0
1400000US17031020801,0.0
1400000US17031020802,0.0
1400000US17031020901,0.0
1400000US17031020902,1.0
1400000US17031030101,1.0
1400000US17031030102,0.0
1400000US17031030103,0.0
1400000US17031030104,0.0
1400000US17031030200,1.0
1400000US17031030300,2.0
1400000US17031030400,0.0
1400000US17031030500,0.0
1400000US17031030601,0.0
1400000US17031030603,0.0
1400000US17031030604,0.0
1400000US17031030701,0.0
1400000US17031030702,0.0
1400000US17031030703,0.0
1400000US17031030706,0.0
1400000US17031030800,0.0
1400000US17031030900,0.0
1400000US17031031000,1.0
1400000US17031031100,1.0
1400000US17031031200,1.0
1400000US17031031300,1.0
1400000US17031031400,0.0
1400000US17031031501,0.0
1400000US17031031502,0.0
1400000US17031031700,0.0
1400000US17031031800,0.0
1400000US17031031900,0.0
1400000US17031032100,1.0
1400000US17031040100,1.0
1400000US17031040201,0.0
1400000US17031040202,3.0
1400000US17031040300,0.0
1400000US17031040401,1.0
1400000US17031040402,0.0
1400000US17031040600,1.0
1400000US17031040700,0.0
1400000US17031040800,1.0
1400000US17031040900,0.0
1400000US17031050100,0.0
1400000US17031050200,0.0
1400000US17031050300,1.0
1400000US17031050500,0.0
1400000US17031050600,0.0
1400000US17031050700,0.0
1400000US17031050800,0.0
1400000US17031050900,0.0
1400000US17031051000,0.0
1400000US17031051100,0.0
1400000US17031051200,0.0
1400000US17031051300,0.0
1400000US17031051400,0.0
1400000US17031060100,0.0
1400000US17031060200,0.0
1400000US17031060300,0.0
1400000US17031060400,0.0
1400000US17031060500,0.0
1400000US17031060800,0.0
1400000US17031060900,1.0
1400000US17031061000,1.0
1400000US17031061100,1.0
1400000US17031061200,0.0
1400000US17031061500,0.0
1400000US17031061800,0.0
1400000US17031061901,0.0
1400000US17031061902,1.0
1400000US17031062000,2.0
1400000US17031062100,2.0
1400000US17031062200,0.0
1400000US17031062300,0.0
1400000US17031062400,0.0
1400000US17031062500,0.0
1400000US17031062600,0.0
1400000US17031062700,1.0
1400000US17031062800,0.0
1400000US17031062900,0.0
1400000US17031063000,1.0
1400000US17031063100,0.0
1400000US17031063200,0.0
1400000US17031063301,0.0
1400000US17031063302,0.0
1400000US17031063303,1.0
1400000US17031063400,1.0
1400000US17031070101,0.0
1400000US17031070102,0.0
1400000US17031070103,0.0
1400000US17031070200,0.0
1400000US17031070300,0.0
1400000US17031070400,0.0
1400000US17031070500,0.0
1400000US17031070600,1.0
