geo_id,inv_stop_count
1400000US17031010100,3.0
1400000US17031010201,18.0
1400000US17031010202,16.0
1400000US17031010300,9.0
1400000US17031010400,39.0
1400000US17031010501,12.0
1400000US17031010502,18.0
1400000US17031010503,27.0
1400000US17031010600,39.0
1400000US17031010701,30.0
1400000US17031010702,31.0
1400000US17031020100,18.0
1400000US17031020200,11.0
1400000US17031020301,22.0
1400000US17031020302,22.0
1400000US17031020400,29.0
1400000US17031020500,60.0
1400000US17031020601,33.0
1400000US17031020602,33.0
1400000US17031020701,46.0
1400000US17031020702,40.0
1400000US17031020801,34.0
1400000US17031020802,31.0
1400000US17031020901,36.0
1400000US17031020902,63.0
1400000US17031030101,34.0
1400000US17031030102,15.0
1400000US17031030103,15.0
1400000US17031030104,27.0
1400000US17031030200,39.0
1400000US17031030300,41.0
1400000US17031030400,41.0
1400000US17031030500,48.0
1400000US17031030601,34.0
1400000US17031030603,29.0
1400000US17031030604,17.0
1400000US17031030701,29.0
1400000US17031030702,10.0
1400000US17031030703,36.0
1400000US17031030706,24.0
1400000US17031030800,43.0
1400000US17031030900,35.0
1400000US17031031000,61.0
1400000US17031031100,72.0
1400000US17031031200,33.0
1400000US17031031300,26.0
1400000US17031031400,53.0
1400000US17031031501,16.0
1400000US17031031502,18.0
1400000US17031031700,50.0
1400000US17031031800,34.0
1400000US17031031900,25.0
1400000US17031032100,39.0
1400000US17031040100,52.0
1400000US17031040201,48.0
1400000US17031040202,32.0
1400000US17031040300,69.0
1400000US17031040401,57.0
1400000US17031040402,67.0
1400000US17031040600,53.0
1400000US17031040700,34.0
1400000US17031040800,35.0
1400000US17031040900,35.0
1400000US17031050100,35.0
1400000US17031050200,35.0
1400000US17031050300,26.0
1400000US17031050500,67.0
1400000US17031050600,51.0
1400000US17031050700,32.0
1400000US17031050800,32.0
1400000US17031050900,12.0
1400000US17031051000,26.0
1400000US17031051100,46.0
1400000US17031051200,46.0
1400000US17031051300,34.0
1400000US17031051400,58.0
1400000US17031060100,63.0
1400000US17031060200,39.0
1400000US17031060300,39.0
1400000US17031060400,54.0
1400000US17031060500,43.0
1400000US17031060800,37.0
1400000US17031060900,28.0
1400000US17031061000,44.0
1400000US17031061100,31.0
1400000US17031061200,51.0
1400000US17031061500,31.0
1400000US17031061800,29.0
1400000US17031061901,26.0
1400000US17031061902,26.0
1400000US17031062000,42.0
1400000US17031062100,42.0
1400000US17031062200,29.0
1400000US17031062300,49.0
1400000US17031062400,49.0
1400000US17031062500,20.0
1400000US17031062600,45.0
1400000US17031062700,58.0
1400000US17031062800,78.0
1400000US17031062900,47.0
1400000US17031063000,60.0
1400000US17031063100,55.0
1400000US17031063200,26.0
1400000US17031063301,31.0
1400000US17031063302,31.0
1400000US17031063303,31.0
1400000US17031063400,44.0
1400000US17031070101,40.0
1400000US17031070102,31.0
1400000US17031070103,29.0
1400000US17031070200,55.0
1400000US17031070300,53.0
1400000US17031070400,53.0
1400000US17031070500,40.0
1400000US17031070600,25.0
1400000US17031070700,48.0
1400000US17031071000,33.0
1400000US17031071100,62.0
1400000US17031071200,40.0
1400000US17031071300,49.0
1400000US17031071400,49.0
1400000US17031071500,39.0
1400000US17031071600,31.0
1400000US17031071700,29.0
1400000US17031071800,29.0
1400000US17031080100,10.0
1400000US17031080201,28.0
1400000US17031080202,19.0
1400000US17031080300,36.0
1400000US17031080400,44.0
1400000US17031081000,35.0
1400000US17031081100,25.0
1400000US17031081201,25.0
1400000US17031081202,17.0
1400000US17031081300,7.0
1400000US17031081401,13.0
